n,mean,sd,cv,true_median,naive_error,maxent_error
100,43.49026842285344,41.134988790736706,0.9458435250567672,28.961481724329822,32.1338567820359,6.7474715166576775
200,12.7303555213862,8.687911290472135,0.6824562971455894,9.897494756328914,27.028276398344715,1.3025992605002334
100,98.41727502341611,90.21469625014285,0.9166550915850734,72.02233160318917,37.032470517233214,2.058924782429882
50,18.808323461109183,8.633492160287034,0.4590250788773861,16.63787025185993,5.040195518916387,3.00834721436919
200,26.555678727177728,8.968741095731781,0.33773345384514514,24.270932256055367,6.801515541181449,6.844703599734197
100,64.3084795570219,41.78939351512405,0.6498271114942108,57.908378146730755,22.825414840724612,3.8702628487425743
100,58.48401218507817,45.120251295233395,0.7714971940099818,40.065161390987285,28.386517118025296,19.159739341185425
50,93.70275743686445,48.22876594292456,0.5146995377955702,85.94497518127366,18.57725781745159,0.0961944755023515
50,63.458308287877884,36.173244913260916,0.57003166156213,54.20660185900975,25.4158153805504,2.3440978999954933
50,35.87093544167282,22.352934366282362,0.6231489112579426,28.587547546294306,17.797386390903487,3.4515407152950344
50,27.67681263543271,9.901436002795675,0.3577520335603801,25.694609953906124,12.889725664323754,5.608717316594639
200,74.57971433582016,46.33576250803155,0.6212917670801105,67.18860380594492,22.922135830958183,1.9231735140500257
200,82.13772090343714,68.51816562029556,0.8341863502744005,56.384841413631676,34.235837997294624,22.824650885577878
20,46.81253357040647,34.851801564144935,0.7444972298225968,41.31731900469791,35.152191330796775,5.590686332292142
20,45.71935711513949,32.685946833649595,0.7149257753413594,40.07434084363405,31.91402118665031,21.031235486577163
50,76.15320062296371,58.313980440174454,0.7657456280647789,54.815559589426485,35.389891681316634,10.19592843675615
50,72.34426006912689,49.15151534649505,0.6794114045748683,61.74498894370062,23.90964418970387,8.10889294882017
100,97.43614659159338,64.53081376785799,0.6622882372220742,82.9937270718928,24.50839587627278,0.7642206589934414
20,22.77446739958544,14.47800539192643,0.6357121392963935,19.409410641392792,20.79020079292329,8.615447413584908
200,67.21092451531545,17.76697070250915,0.2643464709142717,64.93348799532751,1.0232561841067953,1.4599229302923666
100,94.98747788045465,43.241665807991744,0.45523543495294216,89.45345822557309,5.282831402297199,1.5647469698537766
200,74.826083406897,54.1087345921069,0.7231266441926252,57.64584257241308,33.45230848647029,11.906459528322094
200,56.21589398356351,38.741048020943694,0.689147592890204,43.954796343440414,10.278943706326356,0.1215867706367827
200,74.28369624129799,21.992918899424094,0.29606656658526825,70.4190373687982,0.3313095662277046,4.096582548664003
200,43.25010698926868,31.05506195882178,0.7180343384243474,32.796727768792806,40.37889340479411,5.241501516441992
20,53.69073208625862,22.968172242540675,0.42778653503253405,44.15261911104639,7.5982193340978155,4.1597562890235595
50,13.693976715762904,12.618587439988831,0.9214699062153209,9.993792823928526,55.06324106134729,17.31003080170608
200,67.29636215497325,14.417167860169036,0.2142339852928231,65.67273524952175,1.7867138276075174,0.5162380209993703
100,83.63932950250641,22.137248589873373,0.2646751082480879,79.33410525776509,0.6389517744293893,0.5245533692368878
200,77.84589496512204,55.238473549312104,0.7095874942931938,61.67398694593761,27.078050867688972,4.583865617298208
50,81.05904658800979,80.9277154806535,0.9983798093749635,36.9275766880684,59.27766002787165,83.13633457711333
50,31.790514726724805,13.253561072184704,0.41690300349377646,29.254687535188786,12.048473737243658,11.45480054227189
100,33.247796795142925,19.078177091863484,0.5738177843606936,27.17080081178989,25.26186311315788,12.21935632753746
100,71.74122618399932,37.6588058866211,0.5249255956405756,62.63110051893766,22.62061955496942,5.736080488601041
200,57.46691376592346,33.76411976797355,0.5875401610307962,48.19809640335181,18.529044819005122,7.623524975669593
100,82.04703961267838,32.809153590671706,0.39988223518550753,73.63032456659897,6.647562441267096,0.48155837170716254
200,59.141640267788134,46.294408801720074,0.782771810049621,42.81674046519687,37.7898868535857,0.8210739639588939
100,13.616613951794369,10.055786613656693,0.7384939199463434,10.553376297734445,50.032655194832095,19.131982689793087
100,81.56576239072317,31.425593130267313,0.38527921776455415,76.88496536615246,9.484000434225532,2.562882400157974
50,39.25600331127153,28.811994587520697,0.7339512980744004,33.44086979850281,1.485742743727545,17.929820833716644
50,98.18359257716014,46.26718917637061,0.4712313734090584,83.72860682798267,14.189259081210388,0.8665083504596527
100,10.423925874143157,5.933006254111886,0.5691719536138372,9.228925397490087,16.82370466963278,5.959828715906826
50,47.6957427788328,25.659257837982075,0.537977948198965,40.635347553787284,10.753514447992174,10.193854929196714
20,15.41587336124823,10.78910689979787,0.6998699747313097,10.729693263496067,12.824794596120478,12.859087031255775
50,44.66366648736062,29.45242343961553,0.6594269068337745,34.61462820273542,26.62314822409513,2.6077722495703224
100,68.09593403663997,29.786308434613073,0.43741684222417937,61.15113652853015,10.294348667336639,3.6254184723920084
200,83.88558932067379,38.434707979689485,0.4581801032923919,77.52512886755616,6.955757978409391,0.08621719179531495
20,33.018034348943196,14.112963462793816,0.42743196986363086,33.840065436199545,12.831163103931065,8.08592547201817
200,62.82514357546194,15.449175677492047,0.24590752679992509,60.29823196100229,4.540602732768591,3.120049728955006
100,63.73879547630979,39.24037140821141,0.6156434415645042,50.560004175543156,25.2784800444722,2.6217345425525833
